연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,상위서ㆍ센터ID,일련번호,위도,경도,X좌표,Y좌표
150,1108000,영등포소방서,소방서,1100000,15,37.518490129681844,126.90415375137765,191526.842142,546560.60757
151,1108101,영등포119안전센터,안전센터/구조대,1108000,16,37.518369966303,126.90418013697291,191529.161142,546547.26857
152,1108201,구조대,안전센터/구조대,1108000,17,37.518409022365795,126.90421048166596,191531.848142,546551.60057
153,1114000,강남소방서,소방서,1100000,18,37.510286130713084,127.06678384111106,205904.581,545647.847
154,1114402,구조대,안전센터/구조대,1114000,19,37.51024567714753,127.0667163009849,205898.612736,545643.352934
155,1114401,삼성119안전센터,안전센터/구조대,1114000,20,37.51031312909183,127.06691954611392,205916.577,545650.852
156,1117104,발산119안전센터,안전센터/구조대,1117000,21,37.55525057962739,126.83690063188507,185588.494,550648.753
157,1108103,당산119안전센터,안전센터/구조대,1108000,22,37.535497058440974,126.89921364348461,191092.141,548448.622
158,1115104,서초119안전센터,안전센터/구조대,1115000,23,37.4880588797924,127.02757971438727,202439.136823,543179.172556
159,1123101,연희119안전센터,안전센터/구조대,1123000,24,37.573153646777115,126.93598031639715,194344.558,552625.207
160,1113106,성산119안전센터,안전센터/구조대,1113000,25,37.57060174255441,126.90310683285449,191440.251002,552344.461752
161,1118000,강동소방서,소방서,1100000,26,37.52927324594379,127.12493914857306,211043.487669,547760.417187
162,1122102,면목119안전센터,안전센터/구조대,1122000,27,37.57284913812282,127.0798678173398,207055.481,552592.482
163,1122103,망우119안전센터,안전센터/구조대,1122000,28,37.59782237200915,127.10057408102236,208881.69428,555365.984824
164,1120102,거여119안전센터,안전센터/구조대,1120000,29,37.494112395810504,127.15179561062251,213423.652215,543861.499547
165,1118101,성내119안전센터,안전센터/구조대,1118000,30,37.529294961020476,127.12488013422815,211038.268134,547762.820365
166,1118103,고덕119안전센터,안전센터/구조대,1118000,31,37.55716387845885,127.15203657327989,213433.650253,550859.468033
167,1118104,암사119안전센터,안전센터/구조대,1118000,32,37.553981344053,127.12864457825287,211367.262365,550503.158476
168,1118201,구조대,안전센터/구조대,1118000,33,37.52924251300478,127.12501405644537,211050.113382,547757.015008
169,1110106,도봉119안전센터,안전센터/구조대,1110000,34,37.687569636210924,127.0409075691132,203608.2024,565323.0406
170,1122104,중화119안전센터,안전센터/구조대,1122000,35,37.60047584384066,127.07931888038713,207004.399,555658.693
171,1109103,길음119안전센터,안전센터/구조대,1109000,36,37.60283659233395,127.01913880848659,201690.034,555917.924
172,1109104,장위119안전센터,안전센터/구조대,1109000,37,37.615610782245646,127.05822114280576,205140.282775,557337.141595
173,1125102,우이119안전센터,안전센터/구조대,1125000,38,37.64089358516673,127.01656421218328,201461.941319,560141.801092
174,1125103,미아119안전센터,안전센터/구조대,1125000,39,37.62002612010507,127.02832598654412,202500.723258,557825.97995
175,1111000,노원소방서,소방서,1100000,40,37.6381171285008,127.07113692481823,206278.710106,559835.894278
176,1110000,도봉소방서,소방서,1100000,41,37.66403874179807,127.0430390312734,203797.4045,562711.422384
177,1111102,상계119안전센터,안전센터/구조대,1111000,42,37.65504621702187,127.07166431112181,206323.823,561714.886221
