연번,비상소화장치일련번호,비상소화장치고유번호,geometry
170,110081882,112,POINT (127.03392163775844 37.62589919265657)
171,110081883,59,POINT (127.03853664901735 37.661015114519174)
172,110081884,60,POINT (127.04810008091701 37.67420749309357)
173,110081569,107,POINT (127.05229402398865 37.616377673010675)
174,110081570,108,POINT (127.0581340075463 37.61553415347713)
175,110081572,110,POINT (127.05611243108216 37.6088821524965)
176,110081575,113,POINT (127.04995397641358 37.61077326217007)
177,110081576,114,POINT (127.04868435452823 37.60913270846042)
178,110081577,115,POINT (127.05946012373178 37.61564685292484)
179,110081578,116,POINT (127.04727914737317 37.61047188766581)
180,110081579,117,POINT (127.04222643030636 37.61643533821221)
181,110081580,118,POINT (127.04374910473602 37.61731945943625)
182,110081124,000093,POINT (127.07340587830335 37.55509690021133)
183,110081127,000097,POINT (127.04388337946406 37.5645386470146)
184,110080982,217,POINT (127.01404617028294 37.55214671211729)
185,110080983,000218,POINT (126.99393848138689 37.566788382237135)
186,110080984,000219,POINT (126.99517662406895 37.56787130893785)
187,110080985,6-61,POINT (127.01243941399055 37.57463140937687)
188,110080988,058,POINT (127.02924533794902 37.579197147602095)
189,110080989,059,POINT (127.03434798315622 37.58476076988555)
190,110080990,6-59,POINT (127.01180151270736 37.573229361821035)
191,110080991,000228,POINT (127.01751346089787 37.567244507172255)
192,110080992,000229,POINT (126.99477011401159 37.56378639149126)
193,110080993,000230,POINT (127.00897383340146 37.56480477954)
194,110080994,000207,POINT (127.01401839525447 37.56350457016984)
195,110080979,000214,POINT (127.016910711446 37.56716020233769)
196,110080996,000226,POINT (127.01389704982533 37.569010294445654)
197,110080998,165,POINT (127.01954839028164 37.56642245912552)
198,110081000,96,POINT (127.01417398612716 37.55943469221826)
199,110081003,000397,POINT (126.977657540005 37.55623664592662)
200,110081004,000182,POINT (126.97722983619167 37.56051403764725)
201,110081007,000111,POINT (127.08161256412515 37.541993403743035)
202,110080980,000215,POINT (126.99157113591367 37.56042283149367)
